epoch,lr-Adam,step,train/nll_loss,val/rmse_loss
,0.004837113402061856,49,,
0,,49,0.10392740939344107,
,0.008548453608247422,99,,
0,,99,0.08459053650595039,
,0.01225979381443299,149,,
0,,149,0.058661173420749724,
,0.015971134020618557,199,,
0,,199,0.049587374741887624,
,0.019682474226804126,249,,
0,,249,0.04687053334157034,
,0.02339381443298969,299,,
0,,299,0.032212983185799446,
,0.027105154639175257,349,,
0,,349,0.031174088113088284,
0,,388,,0.020177614757533265
,0.029183505154639175,399,,
1,,399,0.023713896551267627,
,0.025472164948453606,449,,
1,,449,0.022812631788974764,
,0.02176082474226804,499,,
1,,499,0.025373822145526928,
,0.018049484536082475,549,,
1,,549,0.02097029635682495,
,0.014338144329896909,599,,
1,,599,0.021841423584831418,
,0.010626804123711336,649,,
1,,649,0.018956687277180397,
,0.006915463917525771,699,,
1,,699,0.018642255770729366,
,0.003204123711340205,749,,
1,,749,0.017720726386181843,
1,,777,,0.017807217766162235
,0.0011911348409893992,799,,
2,,799,0.019101829920054554,
,0.0011718627561837455,849,,
2,,849,0.02126104448372302,
,0.0011525906713780918,899,,
2,,899,0.017109771010086317,
,0.001133318586572438,949,,
2,,949,0.020281392660992187,
,0.0011140465017667844,999,,
2,,999,0.023480363298478177,
,0.0010947744169611307,1049,,
2,,1049,0.018662344625602536,
,0.001075502332155477,1099,,
2,,1099,0.01796060701708688,
,0.0010562302473498231,1149,,
2,,1149,0.01913297309367074,
2,,1166,,0.01773676355186749
,0.0010369581625441695,1199,,
3,,1199,0.01780309524403893,
,0.0010176860777385158,1249,,
3,,1249,0.01652518802838872,
,0.000998413992932862,1299,,
3,,1299,0.020253935014630027,
,0.0009791419081272084,1349,,
3,,1349,0.016913111515983806,
,0.0009598698233215547,1399,,
3,,1399,0.01915228511156676,
,0.000940597738515901,1449,,
3,,1449,0.019596559014925623,
,0.0009213256537102472,1499,,
3,,1499,0.01659547514241331,
,0.0009020535689045936,1549,,
3,,1549,0.020677774083634023,
3,,1555,,0.017611093106625106
,0.0008827814840989398,1599,,
4,,1599,0.01923583424894356,
,0.0008635093992932861,1649,,
4,,1649,0.017052557312664765,
,0.0008442373144876324,1699,,
4,,1699,0.018617478455578696,
,0.0008249652296819787,1749,,
4,,1749,0.022673240048880997,
,0.000805693144876325,1799,,
4,,1799,0.018398332259243137,
,0.0007864210600706713,1849,,
4,,1849,0.013805023915463848,
,0.0007671489752650177,1899,,
4,,1899,0.017287251094213446,
4,,1944,,0.01753201598302958
,0.0007478768904593639,1949,,
5,,1949,0.015073928454222656,
,0.0007286048056537101,1999,,
5,,1999,0.01958953448203769,
,0.0007093327208480564,2049,,
5,,2049,0.018134767793245958,
,0.0006900606360424027,2099,,
5,,2099,0.02151918826790844,
,0.000670788551236749,2149,,
5,,2149,0.021281462677320572,
,0.0006515164664310953,2199,,
5,,2199,0.020095774511211757,
,0.0006322443816254415,2249,,
5,,2249,0.01729277759296946,
,0.0006129722968197879,2299,,
5,,2299,0.018097905985432712,
5,,2333,,0.01761433318892611
,0.0005937002120141342,2349,,
6,,2349,0.020132732715253343,
,0.0005744281272084804,2399,,
6,,2399,0.017318924218408947,
,0.0005551560424028268,2449,,
6,,2449,0.021040987195269333,
,0.0005358839575971731,2499,,
6,,2499,0.016629182620259343,
,0.0005166118727915193,2549,,
6,,2549,0.020433523989126345,
,0.0004973397879858656,2599,,
6,,2599,0.01841246481109066,
,0.00047806770318021196,2649,,
6,,2649,0.0185693325525952,
,0.00045879561837455817,2699,,
6,,2699,0.01599951976647563,
6,,2722,,0.01752813254030087
,0.0004395235335689045,2749,,
7,,2749,0.018760023584451096,
,0.0004202514487632508,2799,,
7,,2799,0.01827152020945214,
,0.0004009793639575971,2849,,
7,,2849,0.018665518712147843,
,0.00038170727915194343,2899,,
7,,2899,0.016343001095940113,
,0.00036243519434628975,2949,,
7,,2949,0.01661701902139792,
,0.00034316310954063596,2999,,
7,,2999,0.01853273176582248,
,0.00032389102473498227,3049,,
7,,3049,0.021341950571336137,
,0.0003046189399293286,3099,,
7,,3099,0.01665684675789144,
7,,3111,,0.017525476505611943
,0.0002853468551236748,3149,,
8,,3149,0.01852983902153934,
,0.0002660747703180211,3199,,
8,,3199,0.022909558035266522,
,0.0002468026855123673,3249,,
8,,3249,0.02057354236981318,
,0.00022753060070671374,3299,,
8,,3299,0.020764311581740184,
,0.00020825851590105995,3349,,
8,,3349,0.02138607986192575,
,0.00018898643109540626,3399,,
8,,3399,0.019396830711474723,
,0.00016971434628975258,3449,,
8,,3449,0.01728622243899506,
,0.0001504422614840989,3499,,
8,,3499,0.019710537405885974,
8,,3500,,0.017506770342907017
,0.0001311701766784452,3549,,
9,,3549,0.020862306678641813,
,0.00011189809187279131,3599,,
9,,3599,0.017133131877098355,
,9.262600706713762e-05,3649,,
9,,3649,0.019906451388343037,
,7.335392226148416e-05,3699,,
9,,3699,0.020550154768656778,
,5.408183745583047e-05,3749,,
9,,3749,0.016816531915497417,
,3.480975265017657e-05,3799,,
9,,3799,0.018095460635414923,
,1.5537667844522885e-05,3849,,
9,,3849,0.018981277322582497,
9,,3889,,0.01753209561807983
