mid,ln_ratio,mapname,approved,sr
2873130,0.0009881422924901185,"sakuzyo - Lost Memory (DaDarkDragon) [Memories [1,3x Rate]]",4,6.39075
2873131,0.0009881422924901185,"sakuzyo - Lost Memory (DaDarkDragon) [Memories [1,4x Rate]]",4,6.79545
2873132,0.0009881422924901185,sakuzyo - Lost Memory (DaDarkDragon) [Memories],4,5.14795
2873204,0.5282846715328468,Xtrullor - Cry (Hydria) [Rave's Hard],1,3.03726
2873205,0.03205791106514995,Xtrullor - Cry (Hydria) [uL's Extreme],1,5.40618
2873206,0.34662799129804206,Xtrullor - Cry (Hydria) [Zyma's Another],1,4.02176
2874828,0.3655244029075805,wotoha - O108ROCKET feat. Neko Hacker (Murumoo) [Moon Adventure],1,4.38872
2875266,0.0,Captain Jack - Captain Jack (Jole) [Captain Jack 1.05x (157cpm)],4,5.37229
2875456,0.004210526315789474,katagiri - Angel's Salad ('Le mythe etendu' ver.) (Penguinosity) [indifference 1.2],4,6.00214
2875457,0.004210526315789474,katagiri - Angel's Salad ('Le mythe etendu' ver.) (Penguinosity) [indifference],4,5.14122
2875654,0.30103950103950106,wotoha - O108ROCKET feat. Neko Hacker (Murumoo) [Hard],1,3.34649
2876933,0.028974158183241974,nitro - kiss the sexy robot ultimate championship 201X!!! (Cut Ver.) (aeoliancarp) [Hard],1,3.2902
2877294,0.0017869907076483202,Katagiri - STRONG 280 (11Bit) [POWERFUL 280],4,7.37139
2877368,0.0017869907076483202,Katagiri - STRONG 280 (11Bit) [POWERFUL 280 x0.9],4,6.7132
2877369,0.0017869907076483202,Katagiri - STRONG 280 (11Bit) [POWERFUL 280 x0.95],4,7.04774
2877806,0.14252636995111911,Kobaryo - Bookmaker (Hydria) [Drago's Extra],1,5.20411
2879332,0.18408347609406633,Camellia - Luin of Celtchar (_Stan) [Massacred],1,6.82714
2879634,0.02059025394646534,oaf1 - think abt it w ppgcasper (Vortex-) [_o_ [1.1x Rate]],4,4.85672
2880014,0.11926605504587157,PastelPalettes - Q&A Recital! (_Asha) [Nabi's Hard],1,3.14288
2880016,0.09075907590759076,PastelPalettes - Q&A Recital! (_Asha) [Insane],1,3.78212
2884302,0.29421487603305785,tokiwa - Orthodox (Fawcro32) [HD],1,3.16288
2884303,0.3335724533715925,tokiwa - Orthodox (Fawcro32) [IN],1,4.15685
2884634,0.1862348178137652,ReoNa - Seimeisen (Hoto Cocoa) [Lifeline Beyond the Borderline],1,3.86743
2884637,0.31545338441890164,ReoNa - Seimeisen (Hoto Cocoa) [Ping's Hard],1,2.99926
2884973,0.05203619909502263,Watashi (CV Yuuki Aoi) - Ganbare! Kumoko-san no Thema (TV Size) (Shirou) [11Bit's Hard],1,3.49549
2884975,0.1366223908918406,Watashi (CV Yuuki Aoi) - Ganbare! Kumoko-san no Thema (TV Size) (Shirou) [Ganbare!],1,4.64235
2886239,0.20228091236494597,kanone - RAIKIRI (Shima Rin) [Akasha's MASTER],1,4.28382
2888186,0.19474835886214442,FELT - crescent moon (Cut Ver.) (Yukari_Sama) [Emotionless],1,3.45622
2888188,0.06637168141592921,FELT - crescent moon (Cut Ver.) (Yukari_Sama) [Hard],1,2.51289
2888189,0.05707196029776675,FELT - crescent moon (Cut Ver.) (Yukari_Sama) [Lunatic],1,2.99621
2889381,0.008896797153024912,Dareharu - Karma (Sherie) [Gloom x1.2],4,5.29866
2889382,0.008896797153024912,Dareharu - Karma (Sherie) [Gloom x1.3],4,5.67487
2889383,0.008896797153024912,Dareharu - Karma (Sherie) [Gloom x1.4],4,6.06225
2889384,0.008896797153024912,Dareharu - Karma (Sherie) [Gloom],4,4.54048
2889524,0.2255306603773585,Camellia vs. lapix - Solvicious (yetii) [Solace],1,4.83205
2889644,0.01776429809358752,lapix - Flamenco House (11Bit) [Funky x1.1],4,4.77989
2889645,0.01776429809358752,lapix - Flamenco House (11Bit) [Funky x1.2],4,5.12564
2889646,0.017756604590731917,lapix - Flamenco House (11Bit) [Funky x1.3],4,5.47452
2889647,0.01776429809358752,lapix - Flamenco House (11Bit) [Funky x1.4],4,5.81147
2890798,0.21822033898305085,Kobaryo - Bookmaker (Hydria) [uL's Insane],1,4.36645
2891114,0.0,Morimori Atsushi vs. uma - Sweet Witch Girl (McEndu) [Hyper],1,3.10382
2891116,0.0,Morimori Atsushi vs. uma - Sweet Witch Girl (McEndu) [Another],1,4.16892
2891311,0.5356973995271868,Simply Three - Troubled Soul (Roasted Chicken) [Cornered],1,4.9241
2891509,0.04294917680744453,kanone - RAIKIRI (Shima Rin) [EXPERT],1,3.55698
2892681,0.23784834737524305,Riinu - Bocca della verita (Noch Einen) [Hard],1,2.71873
2892683,0.339171974522293,Riinu - Bocca della verita (Noch Einen) [Sharp Tongue],1,3.25798
2893231,0.14847457627118643,Zekk - Freefall (Nimis) [EXPERT],1,4.09088
2894511,0.01918616909129243,Nogizaka46 - Influencer (Lize Helesta x Inui Toko Cover) (kasumi99) [Lvl 09 BMS (Bracket) [1.1x Rate]],4,5.97182
2894512,0.01918616909129243,Nogizaka46 - Influencer (Lize Helesta x Inui Toko Cover) (kasumi99) [Lvl 09 BMS (Bracket) [1.2x Rate]],4,6.42781
2894513,0.01918616909129243,Nogizaka46 - Influencer (Lize Helesta x Inui Toko Cover) (kasumi99) [Lvl 09 BMS (Bracket) [1.3x Rate]],4,6.88294
2894514,0.01918616909129243,Nogizaka46 - Influencer (Lize Helesta x Inui Toko Cover) (kasumi99) [Lvl 09 BMS (Bracket) [1.4x Rate]],4,7.27921
2894515,0.01918616909129243,Nogizaka46 - Influencer (Lize Helesta x Inui Toko Cover) (kasumi99) [Lvl 09 BMS (Bracket)],4,5.52987
2895249,0.3974706413730804,ROSALIA - A Pale (Parachor) [Advanced],1,3.32729
2895378,0.10914702581369248,Kobaryo - Bookmaker (Hydria) [Expert],1,4.5955
2896060,0.0,Betwixt & Between - hydra (long edit) (Fullerene-) [april's rebellion],1,4.39534
2896111,0.24691358024691357,Lapis ReLiGHTs Stars - Watashitachi no STARTRAIL (TV Size) (Forthnos) [Starlight],1,4.21449
2896369,0.1258917331095258,BlackY vs. Yooh - MEGATON BLAST (Murumoo) [Sparks 'n' Splash],1,4.96599
2896673,0.10117939168218498,BlackY vs. Yooh - MEGATON BLAST (Murumoo) [EXPERT],1,3.13038
2897720,0.0,inabakumori - Lagtrain (Player0) [Departure],4,3.36097
2897962,0.08881083793276467,BlackY vs. Yooh - MEGATON BLAST (Murumoo) [MASTER],1,3.9544
2900328,0.566543438077634,Hommarju - Crazy Jackpot (CrewK) [Hard],1,3.14791
2900329,0.656390977443609,Hommarju - Crazy Jackpot (CrewK) [Special],1,3.83555
2900330,0.6827814569536423,Hommarju - Crazy Jackpot (CrewK) [JACKPOT],1,4.47601
2901532,0.0967741935483871,kanone - RAIKIRI (Shima Rin) [ExNeko's ADVANCED],1,2.97603
2901681,0.3186420488385944,ShinRa-Bansho - Sanyousei SAY YA!!! (Yukari_Sama) [Hard],1,2.61033
2902135,0.010355987055016181,Infected Mushroom & BLiSS - Ani Mevushal (Cut Ver.) (aeoliancarp) [Hard],1,3.21892
2902826,0.0,Captain Jack - Captain Jack (Jole) [Captain Jack 1.15x (172cpm)],4,5.79279
2902827,0.0,Captain Jack - Captain Jack (Jole) [Captain Jack 1.1x (165cpm)],4,5.59561
2902828,0.0,Captain Jack - Captain Jack (Jole) [Captain Jack 1.2x (180cpm)],4,6.02652
2902829,0.0,Captain Jack - Captain Jack (Jole) [Captain Jack],4,5.17131
2904217,0.21277915632754343,LOONA - Hi High (Tailsdk) [Hard],1,3.13135
2904501,0.1408284023668639,Lime - 8bit Voyager (Syadow-) [Insane],1,4.25101
2906171,0.36205533596837947,lapix - Amazing Mirage (RiP46) [Phantasm],1,3.74766
2906946,0.21005917159763313,"Yagi Yuki, Saeki Iori, Izawa Shiori, Ito Miku, Noguchi Yuri, Mizutani Marin - Shiny Happy Days (TV Size) (Amamya) [La Soleil]",1,3.88326
2907804,0.09466666666666666,AAAA - carnation (Touru0711) [Insane],1,4.26898
2908114,0.14507398051245038,"ShinRa-Bansho - Pink kurage to, sotto, kiss o shita. (Yukari_Sama) [Let's Stacking Stone]",1,4.2776
2909027,0.12326869806094183,Various Artists - Honnou Speed (Game Ver.) (Drum-Hitnormal) [Long Distance [3200m]],1,3.70051
2909735,0.1043613707165109,paraoka - Platinum Garden (Jesuren) [Heavenly Garden],1,4.23382
2910099,0.04281098546042003,AAAA - carnation (Touru0711) [Hard],1,3.00379
2912700,0.0025621316935690495,BlackY - Fontana (FAMoss) [Fantaisie Impromptu],1,4.86849
2914626,0.154126213592233,Spica - Make debut! (TV Size) (Faputa) [Insane],1,3.87401
2914715,0.05263157894736842,paraoka - Platinum Garden (Jesuren) [Falcon's Another],1,3.34386
2914779,0.10508474576271186,Spica - Make debut! (TV Size) (Faputa) [Hard],1,2.71461
2915208,0.05982905982905983,Who-ya Extended - VIVID VICE (TV Size) ([RT]Alleyne) [ExNeko's Hard],1,3.1809
2915209,0.06018518518518518,Who-ya Extended - VIVID VICE (TV Size) ([RT]Alleyne) [Insane],1,4.05016
2916901,0.02503995737879595,Kaori Aihara - FAMIRES WARS (MarioUniverseZ) [Michelin 5-Star],1,4.1371
2917733,0.28715619480191773,Laur - Sound Chimera (Toaph Daddy) [Polymerization],1,4.97886
2918442,0.03173164097914778,Yuuyu - Scrap Syndrome (Cut Ver.) (hna) [Hard],1,3.02758
2920287,0.1293322062552832,Hatsuki Yura - Le Bijoux (A M D) [Hard],1,2.7994
2921882,0.37168141592920356,Various Artists - Umapyoi Densetsu (Game Ver.) (Drum-Hitnormal) [Long Distance [3200m]],1,3.54533
2922079,0.03413566739606127,Camellia as Reverse of Riot - Completeness Under Incompleteness (XDerbyX) [GRAVITY],1,6.06544
2923517,0.0018748535270681978,"Chito (CV Minase Inori), Yuuri (CV Kubo Yurika) - More One Night (Assertive Hardcore Bootleg) [long ver.] (taba2) [MORE!!]",4,6.46487
2923823,0.0030541012216404886,DJ SHARPNEL - KLASSIKER EINHEIT (Arona) [BMS LV.22 (0.9x) [Yasashiku]],4,6.8151
2923825,0.0030541012216404886,DJ Sharpnel - KLASSIKER EINHEIT (Arona) [BMS LV.23 [Yasashiku]],4,7.49118
2923827,0.0030541012216404886,DJ Sharpnel - KLASSIKER EINHEIT (Arona) [BMS LV.24 (1.1x) [Yasashiku]],4,8.16249
2923828,0.0030541012216404886,DJ Sharpnel - KLASSIKER EINHEIT (Arona) [BMS LV.25 (1.2x) [Yasashiku]],4,8.83902
2925850,0.4936854190585534,"Niwasaka Rira (CV Yumezuki Yami), Nishinomiya Richer (CV Hanazawa Sakura) - Snow Canvas (Muse Dash) [Merry Christmas!]",1,3.15694
2926727,0.6473274241203331,Camellia feat. Kagekiha gakusei - Lowermost revolt (Jeremiad Long ver.) (FelixSpade) [4K  ChocoCoki-'s Insurrection],4,6.19786
2926737,0.25526173772261196,Camellia feat. Kagekiha gakusei - Lowermost revolt (Jeremiad Long ver.) (FelixSpade) [4K  Rebellion (cut)],4,4.89573
2926741,0.28489892984542214,Camellia feat. Kagekiha gakusei - Lowermost revolt (Jeremiad Long ver.) (FelixSpade) [4K  Rebellion],4,5.89385
2926742,0.3705072910248511,Camellia feat. Kagekiha gakusei - Lowermost revolt (Jeremiad Long ver.) (FelixSpade) [4K  Virtue-'s -RE  E[V]OLUTiON-],4,7.34784
2926818,0.1808438475105142,Camellia feat. Kagekiha gakusei - Lowermost revolt (Jeremiad Long ver.) (FelixSpade) [10K  Derby's Inseparable Wretchedness],4,8.01524
2926826,0.054771784232365145,Camellia feat. Kagekiha gakusei - Lowermost revolt (Jeremiad Long ver.) (FelixSpade) [4K  nayuu's Makar],4,5.472
2926837,0.17907081641858366,Camellia feat. Kagekiha gakusei - Lowermost revolt (Jeremiad Long ver.) (FelixSpade) [7K  eZmmR & Onta's Impending Judgement],4,7.83546
2927606,0.3987603305785124,Various Artists - Umapyoi Densetsu (Game Ver.) (Drum-Hitnormal) [Fapu's Medium Distance [2400m]],1,2.91635
2929342,0.21356360572872787,Lime - 8bit Voyager (Syadow-) [Kyou's Extra],1,5.51066
2930592,0.44705093833780163,Street - Hestia (guden) [Vesta],1,4.56053
2930733,0.1036192364898364,Nakano Miku (CV Itou Miku) - Kimi ga Suki ~Three Feelings~ (Drum-Hitnormal) [Hard],1,2.84973
2932537,0.25854513584574934,Suzuki Konomi - Bursty Greedy Spider (TV Size) (Murumoo) [Greed],1,4.08992
2932538,0.17472118959107807,Suzuki Konomi - Bursty Greedy Spider (TV Size) (Murumoo) [Hard],1,2.72497
2933387,0.022697795071335927,Yuuyu - Scrap Syndrome (Cut Ver.) (hna) [Vortex-'s Fatal],1,4.34193
2934371,0.06625980819529206,Nakano Nino (CV Taketatsu Ayana) - Suki yo ~Two Hearts~ (Drum-Hitnormal) [Insane],1,3.7285
2934744,0.2328767123287671,Camellia - Dance with Silence ([Crz]xz1z1z) [Silence],1,4.16197
2934799,0.11044776119402985,Hoshimi Production - Sayonara kara Hajimaru Monogatari (TV Size) (Drum-Hitnormal) [Heartbeat],1,3.80937
2935047,0.25086580086580085,Yu_Asahina - eighth-slave (_Rokii) [I'm a slave for this song  VIVID],1,7.05349
2935411,0.4608404966571156,Laur - Viyella's Scream (deta5859) [LUNATIC],1,5.69812
2936598,0.22673434856175972,Tokai Teio (CV Machico) - Koi wa Derby (TV Size) (Drum-Hitnormal) [Long Distance [3200m]],1,3.8932
2938206,0.18421052631578946,Phoebe Ryan - Mine (HANAEL Remix) (Div) [Put it on a necklace],1,3.62453
2938244,0.34895191122071517,"ACE COLLECTION - Monoqlo City (TV Size) (fvrex) [No matter how much you want to stop loving, it is hard to simply flip the switch]",1,3.1381
2939165,0.0,naotyu- - L99 (hoo9030) [EX],4,3.94679
2939237,0.0,naotyu- - L99 (hoo9030) [EX+],4,5.14873
2939409,0.7765176784523016,Mili - Ikutoshitsuki (Flexo123) [Hard],4,3.79172
2940249,0.18101933216168717,nonoc - Believe in you (TV Size) (secXcscX) [4K Trust You],1,2.67068
2940250,0.15172413793103448,nonoc - Believe in you (TV Size) (secXcscX) [7K Always Trust you],1,2.53909
2940609,0.14553990610328638,ARM (IOSYS) - Last Occultism ~ Utsushiyo no Hijutsu-shi (Yukari_Sama) [Hard],1,3.03881
2940610,0.13301823092505063,ARM (IOSYS) - Last Occultism ~ Utsushiyo no Hijutsu-shi (Yukari_Sama) [Lunatic],1,3.74744
2940611,0.16315472606863335,ARM (IOSYS) - Last Occultism ~ Utsushiyo no Hijutsu-shi (Yukari_Sama) [Overdrive],1,4.31657
2940641,0.09002169197396963,THE ORAL CIGARETTES - Shine Holder (Cut Ver.) (Klee_fs) [Eternity],1,3.29012
2940873,0.08158004737355441,THE ORAL CIGARETTES - Songs Compilation (Lita-) [Eternity],1,4.88349
2940958,0.04189294026377036,Lime - 8bit Voyager (Syadow-) [MJH's Hyper],1,3.24997
2941393,0.18529707955689828,C-show - GIMME DA BLOOD (H1Pur) [GIMME DA SV],4,2.81452
2941410,0.18529707955689828,C-show - GIMME DA BLOOD (H1Pur) [GIMME DA NSV],4,2.81452
2942054,0.26777983920841064,ETIA. - 9TH5IN (Touru0711) [MAXIMUM],1,5.00152
2942081,0.02586206896551724,Phoebe Ryan - Mine (HANAEL Remix) (Div) [Poke's Hard],1,2.87628
2942802,0.042303771661569824,THE ORAL CIGARETTES - CATCH ME (Cut Ver.) (Yuiazu-) [Div's Eternity],1,4.288
2942803,0.1295911295911296,THE ORAL CIGARETTES - CATCH ME (Cut Ver.) (Yuiazu-) [Hard],1,3.21261
2943155,0.17219020172910662,USAO - Blows Up Everything (Shima Rin) [EXPERT],1,3.85878
2943157,0.18459729570840683,USAO - Blows Up Everything (Shima Rin) [ReMASTER],1,4.39235
2943158,0.19076923076923077,USAO - Blows Up Everything (Shima Rin) [Rhezie's MASTER],1,4.25716
2943159,0.07026143790849673,USAO - Blows Up Everything (Shima Rin) [Rivals' ADVANCED],1,2.99356
2943194,0.15187891440501045,Diceros Bicornis (xi+BlackY) - Siva (Shima Rin) [Calamity Tempest],1,5.48863
2943229,0.11719745222929936,THE ORAL CIGARETTES - Shine Holder (Cut Ver.) (Klee_fs) [Lita's Hard],1,2.62942
2943710,0.18485523385300667,Uesaka Sumire - EASY LOVE (TV Size) (axelowo) [HARD],1,3.18316
2943713,0.17955801104972377,Uesaka Sumire - EASY LOVE (TV Size) (axelowo) [SENPAI],1,3.95541
2944001,0.2481536189069424,YOASOBI - Kaibutsu (Kuo Kyoka) [CS' Insane],1,3.52421
2944002,0.2192513368983957,YOASOBI - Kaibutsu (Kuo Kyoka) [Hard],1,2.87241
2944003,0.42190305206463197,YOASOBI - Kaibutsu (Kuo Kyoka) [Who's the real me],1,4.05247
2944388,0.02009456264775414,Xtrullor - Cry (Hydria) [Extra],1,4.44144
2945757,0.29954954954954954,Suzuki Konomi - Bursty Greedy Spider (TV Size) (Murumoo) [sec's Insane],1,3.40648
2946072,0.717547700969659,"Kairiki bear feat. GUMI, Kagamine Rin - Inai Inai Izonshou (juankristal) [timing hell]",4,6.57718
2948731,0.024787363304981776,Autopsy Protcol - Akai (pencil's Hardtechno Bootleg) (AHHHHHHHHHHHHHH) [Thrash],1,4.41764
2949621,0.08276333789329686,THE ORAL CIGARETTES - Shala La (Cut Ver.) (Pairoxd) [Klee's Eternity],1,4.10731
2950781,0.12995090016366612,Diceros Bicornis (xi+BlackY) - Hyper Vivacity (Ichigaki) [Vivacious],1,4.60686
2951052,0.21110364898141928,Camellia vs. Tsukasa Kaminose - Gunkyouzouteki Soseiriron (_Stan) [In[5]piration  Kyou's 5K],4,5.45117
2954580,0.39748334566987414,Kshiraki - Seven (Cut Ver.) (Paturages) [Heptaplex],1,3.90228
2955326,0.002618181818181818,Masayoshi Takanaka - Blue Lagoon (Ska) [Takarajima],1,4.82865
2956635,0.17912970004224757,Kobaryo - Glitched Character ([Andre]) [FAMoss' Hard],1,3.29044
2956638,0.20781833860304685,Kobaryo - Glitched Character ([Andre]) [Overload],1,5.73519
2956639,0.237627365356623,Kobaryo - Glitched Character ([Andre]) [palmEuEi's Insane],1,3.94442
2956640,0.3367720465890183,Kobaryo - Glitched Character ([Andre]) [Umo's Extra],1,4.91887
2956884,0.20656226696495153,Nanamori-chu  Goraku-bu - Happy Time wa Owaranai (Cut Ver.) (diamant66) [owo],1,3.97074
2957844,0.11082693947144075,Nanamori-chu  Goraku-bu - Happy Time wa Owaranai (Cut Ver.) (diamant66) [Hard],1,3.35846
2958133,0.16682113067655235,ShinRa-Bansho - I (Yukari_Sama) [Ai],1,4.39609
2958318,0.0584958217270195,II-L - VANGUARD-1 (Elekton) [voyager 1.2x],4,4.72334
2958319,0.0584958217270195,II-L - VANGUARD-1 (Elekton) [voyager 1.3x],4,5.05506
2958320,0.0584958217270195,II-L - VANGUARD-1 (Elekton) [voyager 1.4x],4,5.38679
2958321,0.0584958217270195,II-L - VANGUARD-1 (Elekton) [voyager],4,4.06325
2958637,0.22602384655261792,Laur - Viyella's Scream (deta5859) [Touru's MASTER],1,4.73504
2958650,0.12809315866084425,DIALOGUE+ - Omoide Shiritori (TV Size) (Mirea) [Mirea x Sies' 4K Hard],1,2.71129
2959764,0.3110704483074108,Zekk - Freefall (Nimis) [HYDRIA'S HARD],1,3.09534
2959811,0.43056300268096515,WEDNESDAY CAMPANELLA - Shakushain (Penguinosity) [Hard],1,2.87808
2960345,0.14129110840438489,Lapis ReLiGHTs Stars - Watashitachi no STARTRAIL (TV Size) (Forthnos) [Insane],1,3.78255
2961012,0.49060288015621184,BLACKPINK x ATEEZ x STRAY KIDS - How You Like That  Wonderland  Side Effects  KTL  Horizon MASHUP (Flexo123) [LOOK AT ME],1,5.05095
2964471,0.38136511375947996,Nanamori-chu  Goraku-bu - Happy Time wa Owaranai (Cut Ver.) (MapleSyrup-) [Insane],1,4.48541
2965324,0.17922077922077922,"Soraruko-chan (CV Soraru), Mafuyu-chan (CV mafumafu) - Koi no Mahou wa Merorurira (ExNeko) [Hard]",1,3.02484
2965806,0.24647887323943662,Spica - Yume o Kakeru! (TV Size) (ML-ysg) [Susume!],1,3.93797
2967968,0.18098958333333334,LiSA - Gurenge (TV Size) (Paran) [Hard],1,3.05984
2968331,0.6822407628128725,PLight - crazy_tek (DJ Noriken Remix) (Kim_GodSSI) [UHD 2021 ver. 0.85x],4,9.17648
2968556,0.08712121212121213,THE ORAL CIGARETTES - Miss Tail (Cut Ver.) (LuxSayaka) [Eternity],1,4.19476
2968557,0.12327044025157233,THE ORAL CIGARETTES - Miss Tail (Cut Ver.) (LuxSayaka) [Yui's Hard],1,3.19536
2969056,0.3103448275862069,Laur - Viyella's Scream (deta5859) [_RK's EXPERT],1,3.50527
2970431,0.6538461538461539,Yorushika - Hana ni bourei (emO_Oticon) [Flowers to you],4,5.80942
2970635,0.310803324099723,TUYU - Daemonisch (deta5859) [Contract],1,4.28605
